val,h1,h2,time_arduino,time_python
9061,2.61,15.88,899198.0,1708079622.8157756
9062,2.52,15.85,899290.0,1708079622.908007
9063,2.42,15.95,899381.0,1708079623.0012624
9064,2.28,15.95,899472.0,1708079623.0912564
9065,2.16,15.96,899563.0,1708079623.1808689
9066,2.08,16.01,899655.0,1708079623.2745833
9067,1.98,15.99,899746.0,1708079623.365576
9068,1.87,16.06,899837.0,1708079623.4567268
9069,1.8,16.08,899929.0,1708079623.5490003
9070,1.72,16.09,900021.0,1708079623.6391313
9071,1.66,16.17,900112.0,1708079623.7291083
9072,1.78,16.17,900203.0,1708079623.8233705
9073,1.57,16.18,900294.0,1708079623.9142263
9074,1.38,16.23,900385.0,1708079624.0035603
9075,1.3,16.22,900477.0,1708079624.0947137
9076,1.21,16.28,900569.0,1708079624.187847
9077,1.12,16.29,900660.0,1708079624.278993
9078,1.06,16.28,900751.0,1708079624.3711119
9079,1.04,16.31,900842.0,1708079624.462102
9080,0.96,16.27,900934.0,1708079624.553046
9081,0.86,16.31,901025.0,1708079624.642084
9082,0.82,16.37,901116.0,1708079624.7367592
9083,0.79,16.34,901208.0,1708079624.8268595
9084,0.75,16.27,901300.0,1708079624.9199634
9085,0.74,16.15,901391.0,1708079625.0132325
9086,0.77,16.09,901482.0,1708079625.101195
9087,0.73,16.07,901573.0,1708079625.1913557
9088,0.67,15.98,901664.0,1708079625.2814856
9089,0.69,15.92,901756.0,1708079625.3757288
9090,0.75,15.92,901848.0,1708079625.4658556
9091,0.74,15.82,901939.0,1708079625.5579617
9092,0.71,15.78,902030.0,1708079625.6500733
9093,0.74,15.72,902121.0,1708079625.74024
9094,0.85,15.62,902213.0,1708079625.8313472
9095,1.0,15.63,902304.0,1708079625.926548
9096,1.18,15.54,902395.0,1708079626.0155568
9097,1.32,15.48,902487.0,1708079626.105671
9098,1.46,15.49,902579.0,1708079626.201643
9099,1.68,15.4,902670.0,1708079626.2910924
9100,1.89,15.37,902761.0,1708079626.3802135
9101,2.0,15.36,902852.0,1708079626.4702384
9102,2.16,15.32,902943.0,1708079626.5640779
9103,2.27,15.43,903035.0,1708079626.6563916
9104,2.35,15.46,903127.0,1708079626.7446806
9105,2.46,15.48,903218.0,1708079626.8388393
9106,2.59,15.59,903309.0,1708079626.930121
9107,2.73,15.55,903400.0,1708079627.0182085
9108,2.79,15.56,903492.0,1708079627.1123402
9109,2.7,15.66,903583.0,1708079627.2037015
9110,2.47,15.62,903674.0,1708079627.2924786
9111,2.33,15.64,903766.0,1708079627.3867052
9112,2.27,15.71,903858.0,1708079627.4809222
9113,2.14,15.72,903949.0,1708079627.5669491
9114,2.05,15.74,904040.0,1708079627.6579034
9115,1.99,15.78,904131.0,1708079627.7532237
9116,1.88,15.81,904222.0,1708079627.8412619
9117,1.77,15.82,904314.0,1708079627.933577
9118,1.75,15.86,904406.0,1708079628.0275705
9119,1.69,15.9,904497.0,1708079628.115714
9120,1.62,15.91,904588.0,1708079628.2067046
9121,1.66,15.94,904679.0,1708079628.3006291
