,h2_input,xm,time_arduino,time_python,,volt,,law,,e,,h1,h2,xm,xm_dot,theta1,theta2,theta3,filter1,filter1_dot,filter2,filter2_dot,filter3,filter3_dot,ola (x1000)
35,15.1,15,34170,34.83846307,,0,,0.4,,0.14,state: ,24.71,15.14,0,2,200000,60000,150000,0,2,0,3.8,0,0.04,
36,15.14,15.2,34343,35.01791382,,0,,0.37,,0.01,state: ,24.98,15.21,0.2,3.2,200000,60000,150000,0.2,3.2,0.38,6.16,0,0.08,
37,15.21,15.52,34516,35.18902397,,0,,0.37,,-0.21,state: ,24.82,15.31,0.52,3.84,200000,60000,150000,0.52,3.84,1,7.54,0.01,0.13,
38,15.31,15.9,34691,35.3622582,,0,,0.37,,-0.52,state: ,24.46,15.39,0.9,4.1,200000.1,59999.79,150000,0.9,4.1,1.75,8.05,0.02,0.19,
39,15.39,16.31,34865,35.53882885,,0,,0.37,,-0.83,state: ,24.22,15.48,1.31,4.1,200000.57,59998.89,149999.98,1.31,4.1,2.56,7.91,0.04,0.26,
40,15.48,16.72,35039,35.71294689,,0,,0.37,,-1.18,state: ,24.05,15.55,1.72,3.93,200001.67,59996.76,149999.95,1.72,3.93,3.35,7.41,0.07,0.33,
41,15.55,17.12,35213,35.88613439,,0,,0.37,,-1.49,state: ,23.93,15.62,2.12,3.67,200003.7,59992.83,149999.87,2.12,3.67,4.09,6.73,0.1,0.39,
42,15.62,17.48,35387,36.06083512,,0,,0.37,,-1.8,state: ,23.76,15.68,2.48,3.36,200006.85,59986.72,149999.71,2.48,3.36,4.76,5.98,0.14,0.44,
43,15.68,17.82,35561,36.23179674,,0,,0.37,,-2.06,state: ,23.6,15.76,2.82,3.02,200011.35,59978.13,149999.46,2.82,3.02,5.36,5.18,0.19,0.48,
44,15.76,18.12,35735,36.40780783,,0,,0.37,,-2.28,state: ,23.45,15.84,3.12,2.68,200017.15,59967.11,149999.07,3.12,2.68,5.88,4.41,0.23,0.52,
45,15.84,18.39,35909,36.58117795,,0,,0.36,,-2.45,state: ,23.37,15.93,3.39,2.36,200024.26,59953.73,149998.54,3.39,2.36,6.32,3.67,0.29,0.55,
46,15.93,18.63,36084,36.75539899,,0,,0.35,,-2.6,state: ,23.21,16.02,3.63,2.06,200032.57,59938.23,149997.84,3.63,2.06,6.68,3.02,0.34,0.59,
47,16.02,18.83,36258,36.92707777,,0,,0.35,,-2.74,state: ,23.06,16.09,3.83,1.79,200042,59920.83,149996.96,3.83,1.79,6.99,2.42,0.4,0.63,
48,16.09,19.01,36432,37.10313201,,0,,0.35,,-2.84,state: ,22.93,16.17,4.01,1.54,200052.5,59901.69,149995.85,4.01,1.54,7.23,1.89,0.46,0.65,
49,16.17,19.16,36606,37.27614617,,0,,0.34,,-2.9,state: ,22.87,16.27,4.16,1.32,200063.89,59881.18,149994.54,4.16,1.32,7.42,1.41,0.53,0.68,
50,16.27,19.3,36781,37.4515276,,0,,0.34,,-2.95,state: ,22.72,16.35,4.3,1.13,200075.93,59859.7,149993.03,4.3,1.13,7.56,1.03,0.6,0.7,
51,16.35,19.41,36955,37.62387323,,0,,0.34,,-3,state: ,22.57,16.41,4.41,0.96,200088.62,59837.4,149991.26,4.41,0.96,7.66,0.68,0.67,0.72,
52,16.41,19.5,37129,37.79951501,,0,,0.33,,-2.99,state: ,22.45,16.51,4.5,0.81,200101.85,59814.41,149989.26,4.5,0.81,7.73,0.37,0.74,0.73,
53,16.51,19.59,37303,37.97243595,,0,,0.33,,-3.02,state: ,22.27,16.56,4.59,0.68,200115.34,59791.27,149987.06,4.59,0.68,7.77,0.11,0.81,0.75,
54,16.56,19.65,37477,38.1482954,,0,,0.33,,-3.02,state: ,22.11,16.63,4.65,0.58,200129.21,59767.78,149984.6,4.65,0.58,7.78,-0.13,0.89,0.75,
55,16.63,19.71,37652,38.32461476,,0,,0.33,,-3,state: ,21.96,16.72,4.71,0.48,200143.28,59744.28,149981.92,4.71,0.48,7.77,-0.35,0.96,0.75,
56,16.72,19.76,37827,38.50064135,,0,,0.32,,-2.94,state: ,21.8,16.82,4.76,0.41,200157.39,59721.01,149979.03,4.76,0.41,7.73,-0.53,1.04,0.75,
57,16.82,19.8,38002,38.67178035,,0,,0.32,,-2.91,state: ,21.65,16.89,4.8,0.34,200171.39,59698.28,149975.98,4.8,0.34,7.68,-0.69,1.11,0.76,
58,16.89,19.83,38177,38.84789324,,0,,0.32,,-2.88,state: ,21.49,16.96,4.83,0.28,200185.37,59675.9,149972.75,4.83,0.28,7.61,-0.83,1.19,0.77,
59,16.96,19.86,38352,39.02434683,,0,,0.32,,-2.82,state: ,21.31,17.04,4.86,0.24,200199.28,59654.02,149969.32,4.86,0.24,7.53,-0.94,1.26,0.77,
60,17.04,19.89,38528,39.20037055,,0,,0.31,,-2.75,state: ,21.18,17.13,4.89,0.2,200213,59632.8,149965.76,4.89,0.2,7.43,-1.05,1.34,0.77,
61,17.13,19.91,38703,39.37735939,,0,,0.31,,-2.7,state: ,21.02,17.21,4.91,0.16,200226.45,59612.34,149962.06,4.91,0.16,7.33,-1.13,1.42,0.78,
62,17.21,19.92,38878,39.54930067,,0,,0.31,,-2.63,state: ,20.85,17.3,4.92,0.14,200239.68,59592.59,149958.23,4.92,0.14,7.21,-1.2,1.5,0.79,
63,17.3,19.94,39053,39.72684574,,0,,0.3,,-2.55,state: ,20.7,17.38,4.94,0.11,200252.6,59573.65,149954.31,4.94,0.11,7.09,-1.27,1.58,0.79,
64,17.38,19.95,39228,39.90036941,,0,,0.3,,-2.48,state: ,20.53,17.47,4.95,0.09,200265.21,59555.55,149950.29,4.95,0.09,6.97,-1.32,1.65,0.8,
65,17.47,19.96,39403,40.07638693,,0,,0.31,,-2.45,state: ,20.38,17.5,4.96,0.08,200277.48,59538.28,149946.2,4.96,0.08,6.84,-1.36,1.73,0.8,
66,17.5,19.96,39578,40.24854469,,0,,0.31,,-2.39,state: ,20.22,17.57,4.96,0.06,200289.64,59521.51,149941.93,4.96,0.06,6.7,-1.4,1.81,0.79,
67,17.57,19.97,39753,40.42519903,,0,,0.3,,-2.32,state: ,20.14,17.65,4.97,0.05,200301.53,59505.48,149937.59,4.97,0.05,6.56,-1.43,1.89,0.78,
68,17.65,19.98,39928,40.60293818,,0,,0.29,,-2.24,state: ,19.98,17.74,4.98,0.04,200313.04,59490.27,149933.2,4.98,0.04,6.42,-1.43,1.97,0.77,
69,17.74,19.98,40103,40.77903748,,0,,0.29,,-2.15,state: ,19.82,17.83,4.98,0.04,200324.18,59475.91,149928.78,4.98,0.04,6.27,-1.43,2.05,0.77,
70,17.83,19.98,40280,40.95087957,,0,,0.29,,-2.07,state: ,19.66,17.92,4.98,0.03,200334.92,59462.4,149924.37,4.98,0.03,6.13,-1.44,2.13,0.77,
71,17.92,19.99,40455,41.12622643,,0,,0.29,,-2,state: ,19.51,17.98,4.99,0.02,200345.21,59449.73,149919.98,4.99,0.02,5.99,-1.45,2.2,0.78,
72,17.98,19.99,40630,41.30180311,,0,,0.29,,-1.92,state: ,19.32,18.07,4.99,0.02,200355.2,59437.73,149915.57,4.99,0.02,5.84,-1.46,2.28,0.78,
73,18.07,19.99,40805,41.47865796,,0,,0.28,,-1.85,state: ,19.17,18.14,4.99,0.02,200364.79,59426.51,149911.18,4.99,0.02,5.69,-1.49,2.36,0.78,
74,18.14,19.99,40980,41.65359473,,0,,0.28,,-1.77,state: ,19.02,18.22,4.99,0.01,200374.01,59415.99,149906.84,4.99,0.01,5.55,-1.5,2.44,0.78,
75,18.22,19.99,41155,41.8266418,,0,,0.27,,-1.67,state: ,18.87,18.32,4.99,0.01,200382.84,59406.17,149902.53,4.99,0.01,5.4,-1.51,2.51,0.78,
76,18.32,20,41330,42.00376225,,0,,0.27,,-1.61,state: ,18.71,18.38,5,0.01,200391.2,59397.14,149898.31,5,0.01,5.24,-1.52,2.59,0.79,
77,18.38,20,41505,42.17950392,,0,,0.27,,-1.52,state: ,18.55,18.47,5,0.01,200399.26,59388.69,149894.14,5,0.01,5.09,-1.52,2.67,0.79,
78,18.47,20,41680,42.3538816,,0,,0.28,,-1.5,state: ,18.39,18.5,5,0.01,200406.87,59380.92,149890.06,5,0.01,4.94,-1.53,2.75,0.79,
79,18.5,20,41856,42.52710938,,0,,0.27,,-1.41,state: ,18.24,18.58,5,0,200414.35,59373.52,149885.93,5,0,4.79,-1.54,2.83,0.78,
80,18.58,20,42031,42.70399475,,0,,0.27,,-1.32,state: ,18.07,18.67,5,0,200421.42,59366.76,149881.93,5,0,4.63,-1.54,2.91,0.77,
81,18.67,20,42206,42.87800169,,0,,0.27,,-1.25,state: ,17.93,18.75,5,0,200428.04,59360.62,149878.09,5,0,4.48,-1.55,2.99,0.77,
82,18.75,20,42381,43.05741215,,0,,0.26,,-1.17,state: ,17.76,18.83,5,0,200434.28,59355.03,149874.37,5,0,4.33,-1.55,3.06,0.77,
83,18.83,20,42556,43.23332715,,0,,0.26,,-1.1,state: ,17.59,18.9,5,0,200440.1,59349.98,149870.79,5,0,4.17,-1.56,3.14,0.77,
84,18.9,20,42731,43.40209675,,0,,0.26,,-1.01,state: ,17.44,18.99,5,0,200445.62,59345.38,149867.34,5,0,4.01,-1.56,3.22,0.76,
85,18.99,20,42906,43.57945943,,0,,0.26,,-0.93,state: ,17.29,19.07,5,0,200450.65,59341.33,149864.1,5,0,3.86,-1.57,3.29,0.77,
86,19.07,20,43081,43.75523663,,0,,0.26,,-0.86,state: ,17.12,19.14,5,0,200455.31,59337.74,149861.03,5,0,3.7,-1.57,3.37,0.77,
87,19.14,20,43256,43.93257761,,0,,0.25,,-0.77,state: ,16.98,19.23,5,0,200459.62,59334.55,149858.14,5,0,3.54,-1.57,3.45,0.77,
88,19.23,20,43431,44.1024158,,0,,0.25,,-0.7,state: ,16.81,19.3,5,0,200463.46,59331.82,149855.48,5,0,3.39,-1.57,3.52,0.78,
89,19.3,20,43607,44.27992439,,0,,0.25,,-0.62,state: ,16.65,19.38,5,0,200466.96,59329.45,149853.01,5,0,3.23,-1.57,3.6,0.78,
90,19.38,20,43782,44.45655084,,0,,0.25,,-0.59,state: ,16.58,19.41,5,0,200470.07,59327.43,149850.76,5,0,3.07,-1.57,3.68,0.78,
91,19.41,20,43957,44.63208747,,0,,0.24,,-0.5,state: ,16.42,19.5,5,0,200473,59325.63,149848.62,5,0,2.92,-1.54,3.76,0.76,
92,19.5,20,44133,44.80361629,,0,,0.24,,-0.42,state: ,16.26,19.58,5,0,200475.51,59324.17,149846.73,5,0,2.76,-1.52,3.83,0.75,
93,19.58,20,44308,44.9802289,,0,,0.24,,-0.36,state: ,16.1,19.64,5,0,200477.59,59323.01,149845.14,5,0,2.61,-1.51,3.91,0.75,
94,19.64,20,44483,45.15589046,,0,,0.24,,-0.25,state: ,15.93,19.75,5,0,200479.37,59322.09,149843.75,5,0,2.46,-1.51,3.98,0.75,
95,19.75,20,44658,45.33199239,,0,,0.24,,-0.19,state: ,15.78,19.81,5,0,200480.64,59321.46,149842.75,5,0,2.31,-1.52,4.06,0.75,
96,19.81,20,44833,45.50686264,,0,,0.23,,-0.11,state: ,15.63,19.89,5,0,200481.57,59321.03,149841.98,5,0,2.15,-1.52,4.13,0.75,
97,19.89,20,45008,45.6816864,,0,,0.23,,-0.02,state: ,15.47,19.98,5,0,200482.1,59320.8,149841.53,5,0,2,-1.52,4.21,0.76,
98,19.98,20,45184,45.85567164,,0,,0.23,,0.04,state: ,15.31,20.04,5,0,200482.2,59320.76,149841.46,5,0,1.85,-1.53,4.28,0.76,
99,20.04,20,45358,46.02728724,,0,,0.23,,0.11,state: ,15.14,20.11,5,0,200482.01,59320.84,149841.62,5,0,1.7,-1.53,4.36,0.76,
100,20.11,20,45532,46.20618439,,0,,0.22,,0.2,state: ,14.98,20.2,5,0,200481.43,59321.03,149842.12,5,0,1.54,-1.54,4.44,0.76,
101,20.2,20,45706,46.37552118,,0,,0.22,,0.28,state: ,14.82,20.28,5,0,200480.46,59321.34,149842.98,5,0,1.39,-1.55,4.51,0.76,
102,20.28,20,45880,46.55368876,,0,,0.22,,0.32,state: ,14.67,20.32,5,0,200479.04,59321.73,149844.26,5,0,1.24,-1.56,4.59,0.77,
103,20.32,20,46054,46.72389674,,0,,0.22,,0.4,state: ,14.52,20.4,5,0,200477.43,59322.13,149845.75,5,0,1.08,-1.56,4.66,0.75,
104,20.4,20,46228,46.90211678,,0,,0.22,,0.46,state: ,14.35,20.46,5,0,200475.43,59322.56,149847.6,5,0,0.92,-1.56,4.74,0.75,
105,20.46,20,46402,47.07274032,,0,,0.22,,0.53,state: ,14.2,20.53,5,0,200473.12,59322.99,149849.79,5,0,0.77,-1.56,4.81,0.74,
106,20.53,20,46576,47.24958944,,0,,0.22,,0.61,state: ,14.04,20.61,5,0,200470.45,59323.4,149852.35,5,0,0.61,-1.57,4.89,0.73,
107,20.61,20,46750,47.42274117,,0,,0.22,,0.68,state: ,13.89,20.68,5,0,200467.39,59323.77,149855.35,5,0,0.45,-1.57,4.96,0.73,
108,20.68,20,46924,47.59626317,,0,,0.21,,0.76,state: ,13.73,20.76,5,0,200464,59324.08,149858.71,5,0,0.3,-1.57,5.03,0.72,
109,20.76,20,47098,47.77419448,,0,,0.21,,0.85,state: ,13.57,20.85,5,0,200460.2,59324.3,149862.54,5,0,0.14,-1.57,5.11,0.73,
110,20.85,20,47272,47.94607258,,0,,0.21,,0.92,state: ,13.41,20.92,5,0,200455.98,59324.42,149866.85,5,0,-0.02,-1.57,5.18,0.73,
111,20.92,20,47448,48.12091851,,0,,0.2,,0.99,state: ,13.34,20.99,5,0,200451.35,59324.41,149871.64,5,0,-0.17,-1.57,5.25,0.74,
112,20.99,20,47623,48.29620075,,0,,0.2,,1.07,state: ,13.19,21.07,5,0,200446.39,59324.24,149876.84,5,0,-0.33,-1.54,5.32,0.74,
113,21.07,20,47798,48.47590542,,0,,0.2,,1.11,state: ,13,21.11,5,0,200441.06,59323.89,149882.53,5,0,-0.48,-1.52,5.4,0.74,
114,21.11,20,47973,48.64517188,,0,,0.2,,1.18,state: ,12.87,21.18,5,0,200435.48,59323.35,149888.54,5,0,-0.63,-1.52,5.47,0.73,
115,21.18,20,48148,48.82040477,,0,,0.2,,1.26,state: ,12.71,21.26,5,0,200429.59,59322.6,149894.98,5,0,-0.79,-1.51,5.55,0.72,
116,21.26,20,48323,48.99739766,,0,,0.2,,1.33,state: ,12.55,21.33,5,0,200423.29,59321.61,149901.98,5,0,-0.94,-1.51,5.62,0.72,
117,21.33,20,48499,49.1789763,,0,,0.2,,1.4,state: ,12.39,21.4,5,0,200416.64,59320.36,149909.45,5,0,-1.09,-1.51,5.69,0.72,
118,21.4,20,48674,49.34457469,,0,,0.19,,1.48,state: ,12.25,21.48,5,0,200409.62,59318.83,149917.43,5,0,-1.24,-1.51,5.76,0.72,
119,21.48,20,48849,49.52273154,,0,,0.19,,1.55,state: ,12.08,21.55,5,0,200402.2,59317,149925.98,5,0,-1.39,-1.51,5.83,0.72,
120,21.55,20,49025,49.69785976,,0,,0.19,,1.62,state: ,11.93,21.62,5,0,200394.45,59314.84,149935.01,5,0,-1.54,-1.52,5.9,0.72,
121,21.62,20,49200,49.87297034,,0,,0.19,,1.7,state: ,11.77,21.7,5,0,200386.35,59312.35,149944.57,5,0,-1.69,-1.52,5.98,0.72,
122,21.7,20,49375,50.04908299,,0,,0.19,,1.77,state: ,11.59,21.77,5,0,200377.87,59309.48,149954.71,5,0,-1.85,-1.53,6.05,0.72,
123,21.77,20,49550,50.22251797,,0,,0.19,,1.84,state: ,11.46,21.84,5,0,200369.03,59306.21,149965.4,5,0,-2,-1.54,6.12,0.72,
124,21.84,20,49725,50.39958167,,0,,0.19,,1.91,state: ,11.29,21.91,5,0,200359.84,59302.54,149976.65,5,0,-2.15,-1.54,6.19,0.72,
125,21.91,20,49900,50.57651806,,0,,0.19,,1.94,state: ,11.14,21.94,5,0,200350.29,59298.43,149988.48,5,0,-2.31,-1.55,6.26,0.72,
126,21.94,20,50075,50.75068521,,0,,0.18,,2.03,state: ,10.99,22.03,5,0,200340.6,59293.96,150000.62,5,0,-2.46,-1.55,6.34,0.7,
127,22.03,20,50250,50.92813849,,0,,0.18,,2.1,state: ,10.83,22.1,5,0,200330.43,59288.97,150013.48,5,0,-2.62,-1.55,6.41,0.7,
128,22.1,20,50425,51.09857845,,0,,0.18,,2.18,state: ,10.68,22.18,5,0,200319.96,59283.48,150026.92,5,0,-2.77,-1.55,6.48,0.7,
129,22.18,20,50600,51.2758112,,0,,0.18,,2.25,state: ,10.52,22.25,5,0,200309.06,59277.44,150041.01,5,0,-2.93,-1.55,6.54,0.7,
130,22.25,20,50776,51.45086884,,0,,0.18,,2.32,state: ,10.36,22.32,5,0,200297.82,59270.86,150055.71,5,0,-3.08,-1.55,6.61,0.7,
131,22.32,20,50951,51.62311268,,0,,0.18,,2.39,state: ,10.2,22.39,5,0,200286.23,59263.73,150071.04,5,0,-3.24,-1.56,6.68,0.7,
132,22.39,20,51126,51.79820275,,0,,0.17,,2.47,state: ,10.04,22.47,5,0,200274.29,59256,150087.01,5,0,-3.39,-1.56,6.75,0.7,
133,22.47,20,51301,51.97678971,,0,,0.17,,2.55,state: ,9.88,22.55,5,0,200261.93,59247.61,150103.71,5,0,-3.55,-1.56,6.83,0.71,
134,22.55,20,51475,52.14777827,,0,,0.16,,2.62,state: ,9.81,22.62,5,0,200249.18,59238.57,150121.1,5,0,-3.7,-1.56,6.9,0.71,
135,22.62,20,51649,52.32312536,,0,,0.17,,2.68,state: ,9.64,22.68,5,0,200236.06,59228.84,150139.2,5,0,-3.86,-1.53,6.97,0.72,
136,22.68,20,51823,52.49492002,,0,,0.16,,2.76,state: ,9.49,22.76,5,0,200222.67,59218.5,150157.87,5,0,-4.01,-1.52,7.04,0.72,
137,22.76,20,51997,52.67115402,,0,,0.17,,2.8,state: ,9.34,22.8,5,0,200208.84,59207.4,150177.34,5,0,-4.17,-1.51,7.11,0.72,
138,22.8,20,52171,52.84225655,,0,,0.17,,2.86,state: ,9.18,22.86,5,0,200194.87,59195.75,150197.21,5,0,-4.32,-1.5,7.18,0.71,
139,22.86,20,52345,53.0207448,,0,,0.16,,2.95,state: ,9.03,22.95,5,0,200180.57,59183.4,150217.78,5,0,-4.47,-1.5,7.25,0.69,
140,22.95,20,52520,53.19861794,,0,,0.16,,3.02,state: ,8.86,23.02,5,0,200165.82,59170.23,150239.15,5,0,-4.62,-1.5,7.32,0.69,
141,23.02,20,52695,53.36676431,,0,,0.16,,3.08,state: ,8.72,23.08,5,0,200150.73,59156.29,150261.26,5,0,-4.77,-1.51,7.39,0.69,
142,23.08,20,52869,53.53993607,,0,,0.16,,3.15,state: ,8.56,23.15,5,0,200135.32,59141.59,150284.04,5,0,-4.92,-1.51,7.46,0.69,
143,23.15,20,53043,53.7146647,,0,,0.16,,3.22,state: ,8.39,23.22,5,0,200119.56,59126.09,150307.56,5,0,-5.07,-1.52,7.53,0.69,
144,23.22,20,53217,53.88769579,,0,,0.15,,3.29,state: ,8.23,23.29,5,0,200103.48,59109.78,150331.78,5,0,-5.22,-1.52,7.6,0.69,
145,23.29,20,53391,54.06265354,,0,,0.15,,3.36,state: ,8.1,23.36,5,0,200087.04,59092.62,150356.76,5,0,-5.37,-1.53,7.67,0.69,
146,23.36,20,53565,54.23578095,,0,,0.15,,3.43,state: ,7.94,23.43,5,0,200070.23,59074.55,150382.54,5,0,-5.53,-1.53,7.74,0.69,
147,23.43,20,53739,54.41084886,,0,,0.15,,3.5,state: ,7.78,23.5,5,0,200053.06,59055.58,150409.12,5,0,-5.68,-1.53,7.81,0.69,
148,23.5,20,53913,54.58747506,,0,,0.15,,3.55,state: ,7.61,23.55,5,0,200035.54,59035.67,150436.48,5,0,-5.83,-1.54,7.88,0.69,
149,23.55,20,54087,54.75995541,,0,,0.15,,3.61,state: ,7.48,23.61,5,0,200017.79,59014.96,150464.45,5,0,-5.99,-1.54,7.95,0.69,
150,23.61,20,54261,54.93595886,,0,,0.15,,3.68,state: ,7.32,23.68,5,0,199999.76,58993.37,150493.09,5,0,-6.14,-1.54,8.01,0.68,
151,23.68,20,54435,55.10802317,,0,,0.15,,3.74,state: ,7.16,23.74,5,0,199981.37,58970.77,150522.57,5,0,-6.3,-1.54,8.08,0.67,
152,23.74,20,54609,55.28555083,,0,,0.14,,3.83,state: ,7,23.83,5,0,199962.65,58947.2,150552.82,5,0,-6.45,-1.54,8.15,0.67,
153,23.83,20,54784,55.45555973,,0,,0.13,,3.91,state: ,6.93,23.91,5,0,199943.51,58922.5,150584.03,5,0,-6.6,-1.55,8.22,0.67,
154,23.91,20,54958,55.63118792,,0,,0.13,,3.97,state: ,6.77,23.97,5,0,199923.95,58896.67,150616.17,5,0,-6.76,-1.51,8.28,0.68,
155,23.97,20,55132,55.80466485,,0,,0.13,,4.03,state: ,6.62,24.03,5,0,199904.12,58869.87,150649,5,0,-6.91,-1.5,8.35,0.68,
156,24.03,20,55306,55.97902203,,0,,0.13,,4.1,state: ,6.46,24.1,5,0,199883.96,58842.01,150682.65,5,0,-7.06,-1.49,8.42,0.68,
157,24.1,20,55480,56.15352345,,0,,0.13,,4.18,state: ,6.31,24.18,5,0,199863.45,58813.03,150717.21,5,0,-7.21,-1.48,8.49,0.68,
158,24.18,20,55654,56.32875347,,0,,0.13,,4.24,state: ,6.14,24.24,5,0,199842.56,58782.92,150752.67,5,0,-7.36,-1.48,8.56,0.69,
159,24.24,20,55828,56.50162864,,0,,0.13,,4.28,state: ,6.01,24.28,5,0,199821.35,58751.73,150788.92,5,0,-7.51,-1.49,8.62,0.68,
160,24.28,20,56002,56.67559171,,0,,0.13,,4.34,state: ,5.84,24.34,5,0,199799.96,58719.63,150825.82,5,0,-7.65,-1.49,8.69,0.67,
161,24.34,20,56176,56.84814358,,0,,0.13,,4.41,state: ,5.68,24.41,5,0,199778.26,58686.4,150863.56,5,0,-7.8,-1.5,8.76,0.66,
162,24.41,20,56350,57.0237565,,0,,0.12,,4.5,state: ,5.53,24.5,5,0,199756.23,58652.02,150902.14,5,0,-7.95,-1.5,8.83,0.66,
163,24.5,20,56524,57.19680667,,0,,0.12,,4.55,state: ,5.37,24.55,5,0,199733.75,58616.25,150941.84,5,0,-8.1,-1.51,8.89,0.66,
164,24.55,20,56698,57.37229013,,0,,0.12,,4.62,state: ,5.22,24.62,5,0,199711.01,58579.41,150982.28,5,0,-8.25,-1.52,8.96,0.66,
165,24.62,20,56872,57.54494882,,0,,0.12,,4.7,state: ,5.06,24.7,5,0,199687.89,58541.24,151023.71,5,0,-8.41,-1.52,9.02,0.66,
166,24.7,20,57047,57.7219789,,0,,0.11,,4.78,state: ,4.92,24.78,5,0,199664.4,58501.75,151066.09,5,0,-8.56,-1.52,9.09,0.67,
167,24.78,20,57221,57.89305091,,0,,0.11,,4.83,state: ,4.77,24.83,5,0,199640.53,58460.88,151109.51,5,0,-8.71,-1.52,9.16,0.67,
168,24.83,20,57395,58.06911469,,0,,0.11,,4.9,state: ,4.6,24.9,5,0,199616.39,58418.82,151153.73,5,0,-8.86,-1.52,9.22,0.67,
169,24.9,20,57569,58.24246049,,0,,0.11,,4.96,state: ,4.45,24.96,5,0,199591.9,58375.41,151198.92,5,0,-9.01,-1.53,9.29,0.67,
170,24.96,20,57743,58.41653728,,0,,0.11,,5.01,state: ,4.3,25.01,5,0,199567.1,58330.69,151245.01,5,0,-9.17,-1.53,9.36,0.67,
171,25.01,20,57917,58.59034324,,0,,0.11,,5.06,state: ,4.15,25.06,5,0,199542.07,58284.8,151291.85,5,0,-9.32,-1.53,9.43,0.66,
172,25.06,20,58092,58.76556325,,0,,0.1,,5.14,state: ,4.07,25.14,5,0,199516.76,58237.6,151339.57,5,0,-9.47,-1.53,9.49,0.65,
173,25.14,20,58266,58.93898153,,0,,0.1,,5.19,state: ,3.92,25.19,5,0,199491.09,58188.95,151388.34,5,0,-9.63,-1.5,9.56,0.65,
174,25.19,20,58440,59.11258197,,0,,0.09,,5.27,state: ,3.77,25.27,5,0,199465.14,58138.98,151437.93,5,0,-9.78,-1.48,9.62,0.64,
175,25.27,20,58614,59.29060984,,0,,0.09,,5.34,state: ,3.62,25.34,5,0,199438.78,58087.44,151488.65,5,0,-9.92,-1.47,9.69,0.65,
176,25.34,20,58788,59.46059728,,0,,0.09,,5.4,state: ,3.47,25.4,5,0,199412.07,58034.44,151540.39,5,0,-10.07,-1.47,9.75,0.65,
177,25.4,20,58963,59.63656235,,0,,0.09,,5.46,state: ,3.31,25.46,5,0,199385.06,57980,151593.09,5,0,-10.22,-1.46,9.82,0.65,
178,25.46,20,59139,59.81483531,,0,,0.09,,5.53,state: ,3.17,25.53,5,0,199357.75,57924.19,151646.71,5,0,-10.36,-1.46,9.88,0.65,
179,25.53,20,59314,59.98876143,,0,,0.08,,5.59,state: ,3.01,25.59,5,0,199330.1,57866.89,151701.34,5,0,-10.51,-1.47,9.95,0.65,
180,25.59,20,59489,60.16694403,,0,,0.08,,5.67,state: ,2.86,25.67,5,0,199302.17,57808.16,151756.9,5,0,-10.66,-1.47,10.01,0.65,
181,25.67,20,59665,60.34104848,,0,,0.08,,5.69,state: ,2.71,25.69,5,0,199273.82,57747.75,151813.65,5,0,-10.81,-1.48,10.08,0.65,
182,25.69,20,59841,60.52018023,,0,,0.08,,5.75,state: ,2.56,25.75,5,0,199245.39,57686.28,151870.96,5,0,-10.95,-1.48,10.14,0.64,
183,25.75,20,60017,60.69528532,,0,,0.08,,5.83,state: ,2.41,25.83,5,0,199216.64,57623.3,151929.29,5,0,-11.1,-1.48,10.2,0.63,
184,25.83,20,60193,60.86988235,,0,,0.07,,5.89,state: ,2.26,25.89,5,0,199187.51,57558.62,151988.73,5,0,-11.25,-1.48,10.27,0.62,
185,25.89,20,60369,61.04597831,,0,,0.07,,5.95,state: ,2.11,25.95,5,0,199158.04,57492.32,152049.23,5,0,-11.4,-1.49,10.33,0.63,
186,25.95,20,60546,61.22260618,,0,,0.07,,6.01,state: ,1.97,26.01,5,0,199128.31,57424.54,152110.67,5,0,-11.55,-1.49,10.39,0.62,
187,26.01,20,60722,61.3987639,,0,,0.07,,6.08,state: ,1.82,26.08,5,0,199098.23,57355.1,152173.17,5,0,-11.69,-1.49,10.45,0.62,
188,26.08,20,60898,61.57743931,,0,,0.07,,6.13,state: ,1.66,26.13,5,0,199067.85,57284.04,152236.68,5,0,-11.84,-1.49,10.52,0.62,
189,26.13,20,61074,61.75109744,,0,,0.06,,6.2,state: ,1.55,26.2,5,0,199037.2,57211.44,152301.15,5,0,-11.99,-1.49,10.58,0.62,
190,26.2,20,61250,61.9274714,,0,,0.06,,6.25,state: ,1.42,26.25,5,0,199006.2,57137.1,152366.75,5,0,-12.14,-1.48,10.64,0.62,
191,26.25,20,61427,62.1024282,,0,,0.06,,6.27,state: ,1.28,26.27,5,0,198974.95,57061.21,152433.25,5,0,-12.29,-1.46,10.7,0.62,
192,26.27,20,61603,62.27936387,,0,,0.06,,6.28,state: ,1.16,26.28,5,0,198943.59,56984.11,152500.37,5,0,-12.43,-1.45,10.76,0.6,
193,26.28,20,61779,62.45581698,,0,,0.06,,6.34,state: ,1.06,26.34,5,0,198912.18,56906.02,152567.98,5,0,-12.58,-1.43,10.82,0.57,
194,26.34,20,61956,62.63150907,,0,,0.08,,6.18,state: ,1.04,26.18,5,0,198880.48,56826.23,152636.62,5,0,-12.72,-1.4,10.88,0.55,
195,26.18,20,62132,62.80903196,,0,,0.09,,6.09,state: ,1.02,26.09,5,0,198849.57,56747.6,152703.87,5,0,-12.86,-1.34,10.93,0.45,
