,h1,h2,time_arduino,time_python
120,64.14,31.77,78350.0,1708084020.567262
121,64.06,31.77,78441.0,1708084020.6587503
122,64.0,31.82,78532.0,1708084020.750129
123,63.94,31.89,78623.0,1708084020.8436344
124,64.0,31.89,78715.0,1708084020.9317348
125,63.94,31.92,78807.0,1708084021.0254092
126,63.78,31.98,78898.0,1708084021.1185362
127,63.82,32.02,78989.0,1708084021.209136
128,64.04,32.08,79080.0,1708084021.2963772
129,64.08,32.09,79172.0,1708084021.3905025
130,63.98,32.11,79263.0,1708084021.4816284
131,63.82,32.14,79354.0,1708084021.5707467
132,63.61,32.19,79446.0,1708084021.6673334
133,63.57,32.27,79538.0,1708084021.7743335
134,63.6,32.24,79629.0,1708084021.8472886
135,63.41,32.27,79720.0,1708084021.935153
136,63.24,32.37,79811.0,1708084022.0304353
137,63.24,32.47,79902.0,1708084022.1204925
138,63.17,32.6,79994.0,1708084022.2095935
139,63.0,32.66,80086.0,1708084022.304394
140,62.89,32.67,80177.0,1708084022.3949883
141,62.87,32.61,80268.0,1708084022.4839828
142,62.79,32.53,80359.0,1708084022.5791733
143,62.71,32.56,80451.0,1708084022.6693232
144,62.82,32.61,80542.0,1708084022.7584832
145,62.95,32.63,80633.0,1708084022.8566096
146,62.94,32.68,80724.0,1708084022.9427338
147,62.99,32.73,80816.0,1708084023.034105
148,63.05,32.75,80908.0,1708084023.1239235
149,63.03,32.82,80999.0,1708084023.2219052
150,63.09,32.86,81090.0,1708084023.3081021
151,63.24,32.89,81181.0,1708084023.3983727
152,63.32,32.91,81273.0,1708084023.4926
153,63.32,32.96,81364.0,1708084023.5827281
154,63.41,33.05,81456.0,1708084023.6728506
155,63.53,32.99,81547.0,1708084023.7659435
156,63.41,33.12,81638.0,1708084023.8561227
157,63.22,33.35,81730.0,1708084023.9462068
158,63.25,33.39,81821.0,1708084024.0401042
159,63.35,33.45,81912.0,1708084024.1304274
160,63.36,33.48,82003.0,1708084024.2215917
161,63.34,33.53,82095.0,1708084024.31129
162,63.37,33.54,82187.0,1708084024.404965
163,63.39,33.55,82278.0,1708084024.4960866
164,63.34,33.67,82369.0,1708084024.5852096
165,63.39,33.67,82460.0,1708084024.6803405
166,63.49,33.65,82551.0,1708084024.7704604
167,63.46,33.76,82643.0,1708084024.8602407
168,63.56,33.78,82735.0,1708084024.9537299
169,63.69,33.77,82826.0,1708084025.0458329
170,63.67,33.8,82917.0,1708084025.1359768
171,63.65,33.9,83009.0,1708084025.2292027
172,63.72,33.95,83100.0,1708084025.3191996
173,63.87,33.92,83191.0,1708084025.4094558
174,63.9,34.01,83282.0,1708084025.5004466
175,63.92,34.09,83374.0,1708084025.5927093
176,64.13,34.07,83466.0,1708084025.6828258
177,64.23,34.07,83557.0,1708084025.7762961
178,63.97,34.16,83648.0,1708084025.870969
179,63.95,34.18,83739.0,1708084025.9573126
